id	title	publisher	dateOfPublication	placeOfPublication	series
8e42ef70-e044-4e1a-96fd-6bd3eefbb90d	Confessions of the Guerrilla Girls : by the Guerrilla Girls (whoever they really are) ; with an essay by Whitney Chadwick	HarperPerennial,	©1995.	New York :	
c6341339-ea26-481d-bfe0-1bb9788d7fc9	Insects and flowers : the biology of a partnership	Princeton University Press,	©1985.	Princeton, N.J. :	
08082c79-3780-46f4-a57f-ee854fde79e5	Tara revisited : women, war & the plantation legend	Abbeville Press,	©1995.	New York :	
a2abd41c-b598-4bdf-8f94-88edee7614b1	This singing world : an anthology of modern poetry for young people	Harcourt, Brace and Company,	1924,    [©1923]	New York :	
6475ac07-13b5-4d7f-958e-c879a2ff67b1	The Principal as leader	Merrill ;	©1994.	New York :	
d84200a9-c1fc-4dc0-8dac-b0aa189899b0	A South African kingdom : the pursuit of security in nineteenth-century Lesotho	Cambridge University Press,	1993.	Cambridge [England] ;	
a18e3b11-f40d-4cff-9664-2e67a9731129	Prousts̓ challenge to time	University Press,	[1962]	Manchester :	
e7fa686e-2a71-42ae-807c-c28e41793f7f	The Chinese city between two worlds	Stanford University Press,	1974.	Stanford, Calif. :	
71211695-54eb-4228-89b1-d3abe8946604	Organized crime and labor-management racketeering in the United States : record of hearing VI, Chicago, Illinois	The Commission :	1985.	Washington, D.C. :	
93d45313-4266-4caa-a1d1-b63580a865fd	La naissance du monde proustien dans Jean Santeuil	Nizet,	1974.	Paris :	
c723f2dd-ab6f-41e1-ab3e-8e1d9d3c5d6b	La porte etroite : roman	Mercvre de France,	1907.	Paris :	
98d86632-ecab-4854-8fd6-3e525b4ecc47	Gide's eagles	Southern Illinois University Press,	[1969]	Carbondale :	
e458df96-1260-4f3d-b84e-0964577a69f9	Adolescent drug abuse : clinical assessment and therapeutic interventions	U.S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health, National Institute on Drug Abuse, Division of Clinical and Services Research,	1995.	Rockville, MD :	
4232546b-5fb3-4bd7-9a51-5142933d7d5f	Gide and the Hound of Heaven	University of Pennsylvania Press,	1952.	Philadelphia :	
5c37190b-bd56-4e4b-bd73-dfd62255f645	Opening America's market : U.S. foreign trade policy since 1776	University of North Carolina Press,	©1995.	Chapel Hill :	
2c9187de-2461-46a4-99b4-27b813dcd5b2	Historical sketches of the missions of the United Brethren for propagating the gospel among the heathen : from their commencement to the year 1817	Printed for the author, and sold at no. 84 Hatton Garden, by J. Nisbet, 21 Berner's-Street, Oxford-Street, and by Simpkin and Marshall of Stationers' Court ;	1827	London :	
00ebfeec-fa71-45b9-aaea-d75b870b387e	Getting to know Waiwai : an Amazonian ethnography	Routledge,	1995.	London ;	
e59619d4-d190-421e-a19f-9183c4eacbb9	Batouala : a true Black novel	Black Orpheus Press,	1972.	Washington :	
481076e5-fc2f-4177-bf2e-442640dbc200	Marcel Proust : a critical panorama	University of Illinois Press,	[1973]	Urbana :	
13b82f09-4145-4708-a0b0-aa80dec1ba13	A hell of a woman	Vintage Books,	1990, ©1984.	New York :	
83e46bc7-c78c-48db-9bdf-7c2a0af7759e	Legal and moral constraints on low-intensity conflict	Naval War College,	1995.	Newport, R.I. :	
af190e42-24d0-4e09-ab87-43f11afb6fad	To my isis	Kenyon College,	1954.	[Gambier, Ohio] :	
83b9a3a2-efc0-4cb4-977f-c6c7ca39f976	Boy on horseback	Harcourt, Brace,	[©1935]	New York :	
a2735a7c-c54b-471b-b1a2-ccc6a802a3ae	Proust and Rilke : the literature of expanded consciousness	Barnes & Noble Books,	[1972]	New York :	
52e3f640-c881-41a6-8f02-e6073520a620	Words that bind : judicial review and the grounds of modern constitutional theory	Westview Press,	1995.	Boulder :	
3415639f-1bfe-4efe-9c9a-f47148bdd23c	Entretiens sur Andre Gide [du 6 au 14 septembre 1964]	Mouton,	1967.	Paris :	
4e89bfd4-fadd-4fd6-8a77-39a490d168a8	Women artists : an historical, contemporary, and feminist bibliography	Scarecrow Press,	1994.	Lanham, MD :	
05ff11a4-de2c-4ee9-9e87-947524cb908b	A different kind of listening : my psychoanalysis and its shadow	HarperPerennial,	1996, ©1995.	New York, NY :	
19dfca26-5f24-4a8a-98c6-e6503a05bfa9	The Cambridge companion to Aristotle	Cambridge University Press,	1995.	Cambridge [England] ;	
9b587989-8d78-4f8d-b34e-96889f6260e8	A time for babies	Cobblehill Books/Dutton,	©1993.	New York :	
e0fe9ee7-9288-4252-bdf6-639587720edd	Ethiopia : power and protest : peasant revolts in the twentieth century	Cambridge University Press,	1991.	Cambridge [England] ;	
4e8b379f-517c-44fb-8510-207742471d2c	Byzantium and the crusader states, 1096-1204	Clarendon Press ;	1993.	Oxford :	
f3f981c9-757d-4df0-ade8-b9873579ac74	I, Fellini	Random House,	©1995.	New York :	
e703d3e7-fa61-4587-87dc-5d316a13cdc9	Women and power in native North America	University of Oklahoma Press,	©1995.	Norman :	
02099019-1dec-4d1a-83e3-5e6bf468a814	The chronic crisis in psychological measurement and assessment : a historical survey	Academic Press,	©1994.	San Diego :	
1bb8926a-509a-476f-bda6-4f193ac85cbf	Cognition and the visual arts	MIT Press,	©1994.	Cambridge, Mass. :	
6d54a698-d131-47a1-8815-ef30cc49fda4	Ladder of years	Knopf :	1995.	New York :	
a72ec759-8fa4-4b44-ba00-b1faf4af16a3	Study of furnishings alternatives : Slateford Farm, Delaware Water Gap National Recreation Area, Pennsylvania	U.S. Dept. of Interior, National Park Service,	[1985]	[Washington, D.C.?] :	
69658855-4d76-4878-b2ee-8f75de24dc64	The Victorians and the Stuart heritage : interpretations of a discordant past	Cambridge University Press,	1995.	Cambridge [England] ;	
10097ffc-8f4d-4dd7-8995-479d4261444f	The Baltic world 1772-1993 : Europe's northern periphery in an age of change	Longman,	1995.	London ;	
6d38e546-847c-4b5d-ac82-44adaa94a458	Black writers in New England : a bibliography, with biographical notes, of books by and about Afro-American writers associated with New England in the collection of Afro-American literature, Suffolk University, Museum of Afro-American History, Boston African American National Historic Site	National Park Service,	1985.	Boston :	
